km/h,rpm,m
53.96717259,11825.435,-17.09079284
53.56624062,11737.58169,-16.71934669
53.16640912,11649.96951,-16.34790055
52.76792768,11562.65316,-15.97645441
52.37662554,11476.90997,-15.38215275
51.99404687,11393.07828,-14.7878511
51.62213743,11311.58446,-14.19354944
51.2634002,11232.97697,-13.59924779
50.92114362,11157.98077,-13.00494613
50.59990789,11087.59072,-12.41064448
50.30627958,11023.25008,-11.81634283
50.05073555,10967.25457,-11.22204117
49.85338299,10924.01013,-10.62773952
49.83870716,10920.79432,-10.03343786
49.82403134,10917.57852,-10.07438118
49.83597872,10920.19646,-10.11532451
49.85685027,10924.76989,-10.15626783
49.8841611,10930.75432,-10.19721115
49.91661112,10937.86485,-10.23815447
49.95336614,10945.91871,-10.27909779
49.99383304,10954.78593,-10.32004111
50.03756277,10964.36811,-10.36098443
50.08420063,10974.58753,-10.40192775
50.13345768,10985.38087,-10.44287107
50.18509304,10996.69535,-10.67667134
50.25564161,11012.15414,-10.91047162
50.3401993,11030.68266,-11.14427189
50.43595596,11051.66512,-11.37807216
50.54102522,11074.68819,-11.61187243
50.65402971,11099.45004,-11.8456727
50.77390938,11125.7184,-12.07947298
50.89981864,11153.30798,-12.31327325
51.03106506,11182.06706,-12.54707352
51.16707033,11211.86891,-12.78087379
51.30734382,11242.60602,-13.25317915
51.45684383,11275.36487,-13.72548451
51.61404328,11309.81085,-14.19778987
51.77775618,11345.68407,-14.67009523
51.94703671,11382.77728,-15.1424006
52.12111517,11420.92183,-15.61470596
52.29935518,11459.97827,-16.08701132
52.48122363,11499.82979,-16.55931668
52.6662691,11540.37746,-17.03162204
52.85061379,11580.77157,-17.5039274
53.03269529,11620.66977,-17.55635623
53.21255654,11660.08146,-17.60878505
53.39023926,11699.01579,-17.66121388
53.565784,11737.48163,-17.71364271
53.73923017,11775.48763,-17.76607154
53.91092487,11813.10985,-17.81850037
54.08091828,11850.35927,-17.87092919
54.24923766,11887.24187,-17.92335802
54.41590962,11923.76349,-17.97578685
54.58096008,11959.9298,-18.02821568
54.74441438,11995.74635,-18.32322002
54.90654442,12031.27274,-18.61822435
55.06812524,12066.67877,-18.91322869
55.22916171,12101.96552,-19.20823303
55.38965861,8553.40541,-19.50323737
55.54538453,8577.452983,-19.79824171
55.70110026,8601.498984,-20.09324605
55.85680567,8625.543391,-20.38825039
56.01250064,8649.586186,-20.68325473
56.16818504,8673.627348,-20.97825907
56.32385873,8697.666858,-27.04423955
56.47952159,8721.704694,-33.11022004
56.63504955,8745.721699,-39.17620052
56.78993579,8769.639607,-45.242181
56.94418625,8793.459338,-51.30816149
57.09780681,8817.181798,-57.37414197
57.25080325,8840.807878,-63.44012245
57.40318123,8864.338456,-69.50610294
57.55494638,8887.774397,-75.57208342
57.70610419,8911.116554,-81.6380639
57.85666011,8934.365764,-81.6380639
58.00661949,8957.522855,-81.6380639
58.1559876,8980.588641,-81.6380639
58.30473297,9003.558262,-81.6380639
58.45271458,9026.40994,-81.6380639
58.59994003,9049.144851,-81.6380639
58.74641682,9071.764153,-81.6380639
58.89215233,9094.268983,-81.6380639
59.0371538,9116.660462,-81.6380639
59.18142837,9138.939691,-81.6380639
59.32498307,9161.107756,346.7032976
59.46782482,9183.165725,318.5504373
59.60996042,9205.114649,290.3975771
59.75139657,9226.955563,262.2447168
59.89213988,9248.689486,234.0918565
60.03219684,9270.317421,205.9389963
60.17157385,9291.840357,177.786136
60.31027721,9313.259266,149.6332758
60.44832362,9334.576728,121.4804155
60.58575106,9355.798606,93.32755527
60.72256496,9376.925741,90.75765004
60.85877069,9397.95896,88.1877448
60.99437354,9418.899081,85.61783957
61.12937871,9439.746907,83.04793434
61.26379135,9460.503233,80.47802911
61.39761652,9481.16884,77.90812388
61.53085922,9501.744501,75.33821865
61.66352437,9522.230976,72.76831341
61.79561684,9542.629014,70.19840818
61.92714141,9562.939357,67.62850295
62.05801729,9583.149528,65.30163761
62.18824414,9603.259474,62.97477227
62.31782778,9623.270094,60.64790693
62.44677392,9643.18227,58.32104159
62.57508823,9662.996876,55.99417625
62.70277625,9682.714771,53.66731091
62.82984349,9702.336802,51.34044557
62.95629535,9721.863805,49.01358023
63.08213717,9741.296604,46.68671488
63.20744516,9760.646968,44.35984954
63.33226451,9779.921874,44.07635391
63.45659893,9799.121898,43.79285828
63.58045211,9818.247606,43.50936265
63.70382768,9837.299559,43.22586702
63.8267292,9856.278311,42.94237139
63.94916024,9875.184409,42.65887575
64.07112428,9894.018391,42.37538012
64.19262477,9912.780792,42.09188449
64.31366514,9931.472139,41.80838886
64.43424875,9950.092953,41.52489323
64.55437893,9968.643747,41.72250173
64.67405898,9987.12503,41.92011023
64.79329215,10005.53731,42.11771874
64.91208165,10023.88107,42.31532724
65.03043066,10042.15681,42.51293574
65.14834498,10060.36542,42.71054424
65.26582786,10078.50742,42.90815274
65.38288232,10096.58325,43.10576125
65.49951139,10114.59339,43.30336975
65.61571801,10132.5383,43.50097825
65.73150513,10150.41843,43.14335474
65.84687565,10168.23422,42.78573123
65.96183243,10185.98613,42.42810772
66.07637831,10203.67458,42.0704842
66.19051609,10221.30002,41.71286069
66.30424855,10238.86286,41.35523718
66.41757844,10256.36353,40.99761367
66.53050845,10273.80246,40.63999016
66.64304128,10291.18005,40.28236665
66.75517958,10308.49672,39.92474313
66.86692596,10325.75287,39.69981613
66.97828304,10342.9489,39.47488912
67.08930468,10360.09313,39.24996212
67.19999368,10377.18599,39.02503511
67.31035203,10394.2278,38.80010811
67.42038175,10411.21885,38.5751811
67.53008479,10428.15946,38.3502541
67.63946311,10445.04993,38.12532709
67.74851864,10461.89055,37.90040008
67.85725329,10478.68162,37.67547308
67.96566897,10495.42343,38.06409597
68.07376754,10512.11627,38.45271887
68.18155086,10528.76043,38.84134176
68.28902078,10545.3562,39.22996466
68.39617912,10561.90385,39.61858755
68.50307318,10578.41069,40.00721045
68.60975394,10594.88459,40.39583334
68.71622242,10611.32571,40.78445624
68.82247961,10627.7342,41.17307913
68.92852653,10644.11023,41.56170203
69.03436415,10660.45393,42.95080699
69.13999347,10676.76546,44.33991195
69.24541546,10693.04498,45.72901691
69.35063109,10709.29264,47.11812187
69.45564131,10725.50857,48.50722683
69.56044709,10741.69293,49.89633179
69.66504936,10757.84587,51.28543676
